Название,Цена,Описание,Характеристики,Фото
Насос Yildiz YK 1 1/2,по запросу,,Производительность:6 м3/час Обороты:1400 об/мин Давление насоса:14 бар Производительность:6 м3/час Обороты:1400 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2158/pompa1.png 
Насос Yildiz YKU 1 1/2,по запросу,,Производительность:7 м3/час Обороты:1400 об/мин Давление насоса:14 бар Производительность:7 м3/час Обороты:1400 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2159/pompa1.png 
Насос Yildiz YKF 200,по запросу,,Производительность:15 м3/час Обороты:900 об/мин Давление насоса:14 бар Производительность:15 м3/час Обороты:900 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2160/pompa1.png 
Насос Yildiz YKKF 2,по запросу,,Производительность:11.6 м3/час Обороты:500 об/мин Давление насоса:14 бар Производительность:11.6 м3/час Обороты:500 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2161/pompa1.png 
Насос Yildiz YKF 2,по запросу,,Производительность:15 м3/час Обороты:500 об/мин Давление насоса:14 бар Производительность:15 м3/час Обороты:500 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2162/pompa1.png 
Насос Yildiz YKF 2 1/2,по запросу,,Производительность:25.5 м3/час Обороты:500 об/мин Давление насоса:14 бар Производительность:25.5 м3/час Обороты:500 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2163/pompa1.png 
Насос Yildiz YKUF 2 1/2,по запросу,,Производительность:32 м3/час Обороты:420 об/мин Давление насоса:14 бар Производительность:32 м3/час Обороты:420 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2164/pompa1.png 
Насос Yildiz YKF 3,по запросу,,Производительность:32 м3/час Обороты:420 об/мин Давление насоса:14 бар Производительность:32 м3/час Обороты:420 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2165/pompa1.png 
Насос Yildiz YKBF 3,по запросу,,Производительность:55 м3/час Обороты:400 об/мин Давление насоса:14 бар Производительность:55 м3/час Обороты:400 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2166/pompa1.png 
Насос Yildiz YKF 4,по запросу,,Производительность:55 м3/час Обороты:400 об/мин Давление насоса:14 бар Производительность:55 м3/час Обороты:400 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2167/pompa1.png 
Насос Yildiz YKYF 400,по запросу,,Производительность:90 м3/час Обороты:400 об/мин Давление насоса:14 бар Производительность:90 м3/час Обороты:400 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2168/pompa1.png 
