Название,Цена,Описание,Характеристики,Фото
Винтовой компрессор Dalgakiran TIDY4-7-200,277 100 руб.,,"Производительность:0.41 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Производительность:0.41 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Объем ресивера:200 литров Мощность:3 кВт Уровень шума:68 дБ Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:875x550x860 мм Масса:159 кг Производительность:1.03 м³/мин Рабочее давление:7.5 бар Мощность:5.5 кВт Производительность:1.8 м³/мин Рабочее давление:8 бар Мощность:16.5 кВт Производительность:2 м³/мин Рабочее давление:7 бар Мощность:15.3 кВт ",https://rusgroupp.ru/assets/images/products/198/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/198/oze3249.png https://rusgroupp.ru/assets/images/products/198/oze3252.png https://rusgroupp.ru/assets/images/products/198/oze3258.png https://rusgroupp.ru/assets/images/products/198/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/198/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/198/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/198/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/198/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/198/tidy-5-compact.png 
Компрессор винтовой TIDY3-7-500D (Compact),367 200 руб.,,"Производительность:0.38 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Производительность:0.38 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Объем ресивера:500 литров Мощность:2.2 кВт Уровень шума:68 дБ Выход сжатого воздуха:1/2"" дюйм Встроенный осушитель:DK10 Габаритные размеры Д/Ш/В:1500x550x1350 мм Масса:157 кг Производительность:0.7 м³/мин Рабочее давление:10 бар Мощность:5 кВт Производительность:1.7 м³/мин Рабочее давление:8 бар Мощность:15 кВт Производительность:0.94 м³/мин Рабочее давление:10 бар Мощность:11 кВт ",https://rusgroupp.ru/assets/images/products/199/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/199/oze3249.png https://rusgroupp.ru/assets/images/products/199/oze3252.png https://rusgroupp.ru/assets/images/products/199/oze3258.png https://rusgroupp.ru/assets/images/products/199/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/199/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/199/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/199/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/199/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/199/tidy-5-compact.png 
Винтовой компрессор Dalgakiran TIDY4-10-200,277 100 руб.,,"Производительность:0.36 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Производительность:0.36 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Объем ресивера:200 литров Мощность:3 кВт Уровень шума:68 дБ Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:875x550x860 мм Масса:159 кг Производительность:0.36 м³/мин Рабочее давление:10 бар Мощность:3 кВт Производительность:0.53 м³/мин Рабочее давление:13 бар Мощность:5.5 кВт Производительность:0.4 м³/мин Рабочее давление:7.5 бар Мощность:3 кВт ",https://rusgroupp.ru/assets/images/products/200/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/200/oze3249.png https://rusgroupp.ru/assets/images/products/200/oze3252.png https://rusgroupp.ru/assets/images/products/200/oze3258.png https://rusgroupp.ru/assets/images/products/200/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/200/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/200/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/200/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/200/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/200/tidy-5-compact.png 
Винтовой компрессор Dalgakiran TIDY5-10-200,278 800 руб.,,"Производительность:0.46 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Производительность:0.46 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Объем ресивера:200 литров Мощность:4 кВт Уровень шума:69 дБ Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:1500x550x1350 мм Производительность:2,9 м³/мин Рабочее давление:7 бар Мощность:18,9 кВт Производительность:0.95 м³/мин Рабочее давление:10 бар Мощность:7.5 кВт Производительность:1.65 м³/мин Рабочее давление:8 бар Мощность:15 кВт ",https://rusgroupp.ru/assets/images/products/201/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/201/oze3249.png https://rusgroupp.ru/assets/images/products/201/oze3252.png https://rusgroupp.ru/assets/images/products/201/oze3258.png https://rusgroupp.ru/assets/images/products/201/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/201/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/201/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/201/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/201/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/201/tidy-5-compact.png 
Винтовой компрессор Dalgakiran TIDY4-10-200 4 бар,263 704 руб.,,"Производительность:0.36 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Производительность:0.36 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Объем ресивера:200 литров Мощность:3 кВт Тип привода:Ременной Уровень шума:68 дБ Питание:380 В Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:1500x550x1351 мм Масса:159 кг Производительность:0.65 м³/мин Рабочее давление:10 бар Мощность:5.5 кВт Производительность:0.47 м³/мин Рабочее давление:10 бар Мощность:5.5 кВт Производительность:1.88 м³/мин Рабочее давление:10 бар Мощность:22 кВт ",https://rusgroupp.ru/assets/images/products/202/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/202/oze3249.png https://rusgroupp.ru/assets/images/products/202/oze3252.png https://rusgroupp.ru/assets/images/products/202/oze3258.png https://rusgroupp.ru/assets/images/products/202/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/202/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/202/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/202/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/202/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/202/tidy-5-compact.png 
Компрессор винтовой TIDY4-7-250D (Compact),342 040 руб.,,"Производительность:0.41 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Производительность:0.41 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Объем ресивера:250 литров Мощность:3 кВт Уровень шума:68 дБ Выход сжатого воздуха:1/2"" дюйм Встроенный осушитель:DK20 Габаритные размеры Д/Ш/В:1500x550x1351 мм Масса:159 кг Производительность:1.25 м³/мин Рабочее давление:13 бар Мощность:11 кВт Производительность:0.85 м³/мин Рабочее давление:13 бар Мощность:7 кВт Производительность:2.3 м³/мин Рабочее давление:8 бар Мощность:15 кВт ",https://rusgroupp.ru/assets/images/products/203/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/203/oze3249.png https://rusgroupp.ru/assets/images/products/203/oze3252.png https://rusgroupp.ru/assets/images/products/203/oze3258.png https://rusgroupp.ru/assets/images/products/203/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/203/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/203/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/203/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/203/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/203/tidy-5-compact.png 
Винтовой компрессор Dalgakiran TIDY5-13-200,278 800 руб.,,"Производительность:0.35 м³/мин Рабочее давление:13 бар Мин. давление:4 бар Производительность:0.35 м³/мин Рабочее давление:13 бар Мин. давление:4 бар Объем ресивера:200 литров Мощность:4 кВт Уровень шума:69 дБ Выход сжатого воздуха:1/2"" дюйм Габаритные размеры Д/Ш/В:1500x550x1350 мм Производительность:1.36 м³/мин Рабочее давление:10 бар Мощность:15 кВт Производительность:1.61 м³/мин Рабочее давление:13 бар Мощность:15 кВт Производительность:0.7 м³/мин Рабочее давление:10 бар Мощность:5 кВт ",https://rusgroupp.ru/assets/images/products/204/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/204/oze3249.png https://rusgroupp.ru/assets/images/products/204/oze3252.png https://rusgroupp.ru/assets/images/products/204/oze3258.png https://rusgroupp.ru/assets/images/products/204/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/204/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/204/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/204/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/204/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/204/tidy-5-compact.png 
Компрессор винтовой TIDY4-10-250D (Compact)!,342 040 руб.,,"Производительность:0.36 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Производительность:0.36 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Объем ресивера:250 литров Мощность:3 кВт Уровень шума:68 дБ Выход сжатого воздуха:1/2"" дюйм Встроенный осушитель:DK20 Габаритные размеры Д/Ш/В:1500x550x1351 мм Масса:159 кг Производительность:0.98 м³/мин Рабочее давление:8 бар Мощность:5.5 кВт Производительность:1.4 м³/мин Рабочее давление:10 бар Мощность:11 кВт Производительность:0.77 м³/мин Рабочее давление:13 бар Мощность:7.5 кВт ",https://rusgroupp.ru/assets/images/products/205/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/205/oze3249.png https://rusgroupp.ru/assets/images/products/205/oze3252.png https://rusgroupp.ru/assets/images/products/205/oze3258.png https://rusgroupp.ru/assets/images/products/205/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/205/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/205/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/205/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/205/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/205/tidy-5-compact.png 
Компрессор винтовой TIDY5-7-250D (Compact),354 688 руб.,,"Производительность:0.56 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Производительность:0.56 м³/мин Рабочее давление:7.5 бар Мин. давление:4 бар Объем ресивера:250 литров Мощность:4 кВт Уровень шума:69 дБ Выход сжатого воздуха:1/2"" дюйм Встроенный осушитель:DK20 Габаритные размеры Д/Ш/В:1500x550x1350 мм Производительность:0.95 м³/мин Рабочее давление:10 бар Мощность:7.5 кВт Производительность:2.4 м³/мин Рабочее давление:10 бар Мощность:18.5 кВт Производительность:1.4 м³/мин Рабочее давление:10 бар Мощность:11 кВт ",https://rusgroupp.ru/assets/images/products/206/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/206/oze3249.png https://rusgroupp.ru/assets/images/products/206/oze3252.png https://rusgroupp.ru/assets/images/products/206/oze3258.png https://rusgroupp.ru/assets/images/products/206/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/206/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/206/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/206/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/206/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/206/tidy-5-compact.png 
Компрессор винтовой TIDY5-10-250D (Compact),354 688 руб.,,"Производительность:0.46 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Производительность:0.46 м³/мин Рабочее давление:10 бар Мин. давление:4 бар Объем ресивера:250 литров Мощность:4 кВт Уровень шума:69 дБ Выход сжатого воздуха:1/2"" дюйм Встроенный осушитель:DK20 Габаритные размеры Д/Ш/В:1500x550x1350 мм Производительность:0.5 м³/мин Рабочее давление:8 бар Мощность:4 кВт Производительность:0.6 м³/мин Рабочее давление:13 бар Мощность:5 кВт Производительность:0.85 м³/мин Рабочее давление:8 бар Мощность:7.5 кВт ",https://rusgroupp.ru/assets/images/products/207/1489048341-tidy-serisi.png https://rusgroupp.ru/assets/images/products/207/oze3249.png https://rusgroupp.ru/assets/images/products/207/oze3252.png https://rusgroupp.ru/assets/images/products/207/oze3258.png https://rusgroupp.ru/assets/images/products/207/tidy-5-(6).png https://rusgroupp.ru/assets/images/products/207/tidy-5-(7).png https://rusgroupp.ru/assets/images/products/207/tidy-5-(8).png https://rusgroupp.ru/assets/images/products/207/tidy-5-(9).png https://rusgroupp.ru/assets/images/products/207/tidy-5-(10).png https://rusgroupp.ru/assets/images/products/207/tidy-5-compact.png 
