Название,Цена,Описание,Характеристики,Фото
Магистральный фильтр высокого давления Dalgakiran HG1600 MA,66 640 руб.,,"Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм Масса:9.5 кг Макс. температура на входе:25 ºС Ширина (A):128 мм Длина (B):158 мм Доп. размер (C):44.4 мм Доп. размер (D):368 мм Картридж:MA Отделение партикуля более:0.01 мкм Падение давления:80 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.003 мг/м³ Цвет элемента:Металлик Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм ",https://rusgroupp.ru/assets/images/products/1541/hg.jpg 
Осушитель DRYER DMD 15,102 680 руб.,"Модульный осушитель сжатого воздуха адсорбционного типа серии Dalgakiran DRYAIR DMD с холодной регенерацией. Используется в металлургии, машиностроении, строительстве и на других производствах. ",Производительность:0.42 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:0.42 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:1/2'' дюйм Тип осушителя:Адсорбционный Габаритные размеры Д/Ш/В:320x370x800 мм Масса:25 кг Адсорбент:Оксид алюминия Масса адсорбента:7 кг Точка росы:-40 °C Тип фильтров:GO25 MX-MY-MP Макс. температура на входе:50 ºС Мин. температура на входе:4 ºС Производительность:0.42 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2'' дюйм Производительность:1.67 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2'' дюйм Производительность:0.87 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2 дюйм ,https://rusgroupp.ru/assets/images/products/1286/dmd1.jpg https://rusgroupp.ru/assets/images/products/1286/dmd2.jpg 
Магистральный фильтр высокого давления Dalgakiran HG1600 MX,66 640 руб.,,"Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм Масса:9.5 кг Макс. температура на входе:65 ºС Ширина (A):128 мм Длина (B):158 мм Доп. размер (C):44.4 мм Доп. размер (D):368 мм Картридж:MX Отделение партикуля более:1 мкм Падение давления:80 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.5 мг/м³ Цвет элемента:Синий Производительность:26.67 м³/мин Рабочее давление:45 бар Выход сжатого воздуха:2"" дюйм Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм ",https://rusgroupp.ru/assets/images/products/1542/hg.jpg 
Осушитель DRYER DMD 20,115 600 руб.,"Модульный осушитель сжатого воздуха адсорбционного типа серии Dalgakiran DRYAIR DMD с холодной регенерацией. Используется в металлургии, машиностроении, строительстве и на других производствах. ","Производительность:0.58 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:0.58 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:1/2'' дюйм Тип осушителя:Адсорбционный Габаритные размеры Д/Ш/В:320x370x1100 мм Масса:35 кг Адсорбент:Оксид алюминия Масса адсорбента:10 кг Точка росы:-40 °C Тип фильтров:GO50 MX-MY-MP Макс. температура на входе:50 ºС Мин. температура на входе:4 ºС Производительность:1.67 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2'' дюйм Производительность:0.83 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:3/8"" дюйм Производительность:2.17 м³/мин Рабочее давление:10 бар Выход сжатого воздуха:1 дюйм ",https://rusgroupp.ru/assets/images/products/1287/dmd1.jpg https://rusgroupp.ru/assets/images/products/1287/dmd2.jpg 
Магистральный фильтр высокого давления Dalgakiran HG1600 MY,66 640 руб.,,"Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм Масса:9.5 кг Макс. температура на входе:65 ºС Ширина (A):128 мм Длина (B):158 мм Доп. размер (C):44.4 мм Доп. размер (D):368 мм Картридж:MY Отделение партикуля более:0.01 мкм Падение давления:100 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.01 мг/м³ Цвет элемента:Красный Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм Производительность:27.14 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:3"" дюйм Производительность:26 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:1 1/2"" дюйм ",https://rusgroupp.ru/assets/images/products/1543/hg.jpg 
Осушитель DRYER DMD 25,125 800 руб.,"Модульный осушитель сжатого воздуха адсорбционного типа серии Dalgakiran DRYAIR DMD с холодной регенерацией. Используется в металлургии, машиностроении, строительстве и на других производствах. ","Производительность:0.75 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:0.75 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:1/2'' дюйм Тип осушителя:Адсорбционный Габаритные размеры Д/Ш/В:320x370x1250 мм Масса:41 кг Адсорбент:Оксид алюминия Масса адсорбента:12 кг Точка росы:-40 °C Тип фильтров:GO50 MX-MY-MP Макс. температура на входе:50 ºС Мин. температура на входе:4 ºС Производительность:2.5 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1'' дюйм Производительность:0.83 м³/мин Рабочее давление:45 бар Выход сжатого воздуха:3/4'' дюйм Производительность:1.05 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2"" дюйм ",https://rusgroupp.ru/assets/images/products/1288/dmd1.jpg https://rusgroupp.ru/assets/images/products/1288/dmd2.jpg 
Магистральный фильтр высокого давления Dalgakiran HG2500 MA,79 152 руб.,,"Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм Масса:11.4 кг Макс. температура на входе:25 ºС Ширина (A):145 мм Длина (B):178 мм Доп. размер (C):51.5 мм Доп. размер (D):393 мм Картридж:MA Отделение партикуля более:0.01 мкм Падение давления:80 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.003 мг/м³ Цвет элемента:Металлик Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм Производительность:41.67 м³/мин Рабочее давление:45 бар Выход сжатого воздуха:2 1/2"" дюйм ",https://rusgroupp.ru/assets/images/products/1544/hg.jpg 
Осушитель DRYER DMD 30,130 560 руб.,"Модульный осушитель сжатого воздуха адсорбционного типа серии Dalgakiran DRYAIR DMD с холодной регенерацией. Используется в металлургии, машиностроении, строительстве и на других производствах. ","Производительность:0.83 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:0.83 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:1/2'' дюйм Тип осушителя:Адсорбционный Габаритные размеры Д/Ш/В:320x270x1500 мм Масса:46 кг Адсорбент:Оксид алюминия Масса адсорбента:15 кг Точка росы:-40 °C Тип фильтров:GO50 MX-MY-MP Макс. температура на входе:50 ºС Мин. температура на входе:4 ºС Производительность:1.67 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2'' дюйм Производительность:2.18 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:DN150 дюйм Производительность:2.17 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:3/4"" дюйм ",https://rusgroupp.ru/assets/images/products/1289/dmd1.jpg https://rusgroupp.ru/assets/images/products/1289/dmd2.jpg 
Магистральный фильтр высокого давления Dalgakiran HG2500 MX,79 152 руб.,,"Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм Масса:11.4 кг Макс. температура на входе:65 ºС Ширина (A):145 мм Длина (B):178 мм Доп. размер (C):51.5 мм Доп. размер (D):393 мм Картридж:MX Отделение партикуля более:1 мкм Падение давления:80 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.5 мг/м³ Цвет элемента:Синий Производительность:41.67 м³/мин Рабочее давление:45 бар Выход сжатого воздуха:2 1/2"" дюйм Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм ",https://rusgroupp.ru/assets/images/products/1545/hg.jpg 
Осушитель DRYER DMD 40,142 120 руб.,"Модульный осушитель сжатого воздуха адсорбционного типа серии Dalgakiran DRYAIR DMD с холодной регенерацией. Используется в металлургии, машиностроении, строительстве и на других производствах. ",Производительность:1.17 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:1.17 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:1 1/2'' дюйм Тип осушителя:Адсорбционный Габаритные размеры Д/Ш/В:430x430x1250 мм Масса:71 кг Адсорбент:Оксид алюминия Масса адсорбента:18 кг Точка росы:-40 °C Тип фильтров:GO100 MX-MY-MP Макс. температура на входе:50 ºС Мин. температура на входе:4 ºС Производительность:2.5 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1'' дюйм Производительность:1.62 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:DN100 дюйм Производительность:2.67 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:3/4 дюйм ,https://rusgroupp.ru/assets/images/products/1290/dmd1.jpg https://rusgroupp.ru/assets/images/products/1290/dmd2.jpg 
Магистральный фильтр высокого давления Dalgakiran HG2500 MY,79 152 руб.,,"Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм Масса:11.4 кг Макс. температура на входе:65 ºС Ширина (A):145 мм Длина (B):178 мм Доп. размер (C):51.5 мм Доп. размер (D):393 мм Картридж:MY Отделение партикуля более:0.01 мкм Падение давления:100 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.01 мг/м³ Цвет элемента:Красный Производительность:41.67 м³/мин Рабочее давление:45 бар Выход сжатого воздуха:2 1/2"" дюйм Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм Производительность:41 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2"" дюйм ",https://rusgroupp.ru/assets/images/products/1546/hg.jpg 
Осушитель DRYER DMD 50,161 160 руб.,"Модульный осушитель сжатого воздуха адсорбционного типа серии Dalgakiran DRYAIR DMD с холодной регенерацией. Используется в металлургии, машиностроении, строительстве и на других производствах. ",Производительность:1.42 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:1.42 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:1 1/2'' дюйм Тип осушителя:Адсорбционный Габаритные размеры Д/Ш/В:430x430x1400 мм Масса:78 кг Адсорбент:Оксид алюминия Масса адсорбента:20 кг Точка росы:-40 °C Тип фильтров:GO100 MX-MY-MP Макс. температура на входе:50 ºС Мин. температура на входе:4 ºС Производительность:1.67 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2 дюйм Производительность:1.67 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1/2'' дюйм Производительность:2.17 м³/мин Рабочее давление:10 бар Выход сжатого воздуха:1'' дюйм ,https://rusgroupp.ru/assets/images/products/1291/dmd1.jpg https://rusgroupp.ru/assets/images/products/1291/dmd2.jpg 
Магистральный фильтр высокого давления Dalgakiran HG3000 MA,91 664 руб.,,"Производительность:50 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2 1/2’’ дюйм Производительность:50 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2 1/2’’ дюйм Масса:15 кг Макс. температура на входе:25 ºС Ширина (A):160 мм Длина (B):178 мм Доп. размер (C):57.6 мм Доп. размер (D):386 мм Картридж:MA Отделение партикуля более:0.01 мкм Падение давления:80 мбар Степень фильтрации:Тонкая Остаточное содержание масла:0.003 мг/м³ Цвет элемента:Металлик Производительность:50 м³/мин Рабочее давление:45 бар Выход сжатого воздуха:2 1/2"" дюйм Производительность:50 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2 1/2’’ дюйм Производительность:50 м³/мин Рабочее давление:50 бар Выход сжатого воздуха:2 1/2’’ дюйм ",https://rusgroupp.ru/assets/images/products/1547/hg.jpg 
Осушитель DRYER DMD 60,165 240 руб.,"Модульный осушитель сжатого воздуха адсорбционного типа серии Dalgakiran DRYAIR DMD с холодной регенерацией. Используется в металлургии, машиностроении, строительстве и на других производствах. ",Производительность:1.67 м³/мин Рабочее давление:16 бар Питание:230 В Производительность:1.67 м³/мин Рабочее давление:16 бар Питание:230 В Выход сжатого воздуха:1 1/2'' дюйм Тип осушителя:Адсорбционный Габаритные размеры Д/Ш/В:430x430x1750 мм Масса:92 кг Адсорбент:Оксид алюминия Масса адсорбента:27 кг Точка росы:-40 °C Тип фильтров:GO100 MX-MY-MP Макс. температура на входе:50 ºС Мин. температура на входе:4 ºС Производительность:2.5 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:1'' дюйм Производительность:1.77 м³/мин Рабочее давление:16 бар Выход сжатого воздуха:3/4 дюйм Производительность:2.17 м³/мин Рабочее давление:10 бар Выход сжатого воздуха:1'' дюйм ,https://rusgroupp.ru/assets/images/products/1292/dmd1.jpg https://rusgroupp.ru/assets/images/products/1292/dmd2.jpg 
